TOKEN:  Declaration statement | TYPE: COMMENT                        | LINE: 1
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 2
TOKEN: count                | TYPE: IDENTIFIER                     | LINE: 2
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 2
TOKEN: FLOAT                | TYPE: TYPE_FLOAT                     | LINE: 3
TOKEN: x                    | TYPE: IDENTIFIER                     | LINE: 3
TOKEN: ,                    | TYPE: COMMA                          | LINE: 3
TOKEN: y                    | TYPE: IDENTIFIER                     | LINE: 3
TOKEN: ,                    | TYPE: COMMA                          | LINE: 3
TOKEN: z                    | TYPE: IDENTIFIER                     | LINE: 3
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 3
TOKEN: STRING               | TYPE: TYPE_STRING                    | LINE: 4
TOKEN: message              | TYPE: IDENTIFIER                     | LINE: 4
TOKEN: =                    | TYPE: ASSIGN_OP                      | LINE: 4
TOKEN: John                 | TYPE: STR_CONST                      | LINE: 4
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 4
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 5
TOKEN: numbers              | TYPE: IDENTIFIER                     | LINE: 5
TOKEN: [                    | TYPE: LEFT_BRACKET                   | LINE: 5
TOKEN: 10                   | TYPE: NUM_CONST                      | LINE: 5
TOKEN: ]                    | TYPE: RIGHT_BRACKET                  | LINE: 5
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 5
TOKEN:  Function Definition | TYPE: COMMENT                        | LINE: 7
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 8
TOKEN: sum                  | TYPE: IDENTIFIER                     | LINE: 8
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 8
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 8
TOKEN: a                    | TYPE: IDENTIFIER                     | LINE: 8
TOKEN: ,                    | TYPE: COMMA                          | LINE: 8
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 8
TOKEN: b                    | TYPE: IDENTIFIER                     | LINE: 8
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 8
TOKEN: {                    | TYPE: LEFT_CURLY                     | LINE: 8
TOKEN: CHARACTER            | TYPE: TYPE_CHARACTER                 | LINE: 9
TOKEN: a                    | TYPE: IDENTIFIER                     | LINE: 9
TOKEN: =                    | TYPE: ASSIGN_OP                      | LINE: 9
TOKEN: a                    | TYPE: CHAR_CONST                     | LINE: 9
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 9
TOKEN: }                    | TYPE: RIGHT_CURLY                    | LINE: 10
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 12
TOKEN: MAIN                 | TYPE: KW_MAIN                        | LINE: 12
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 12
TOKEN: VOID                 | TYPE: RW_VOID                        | LINE: 12
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 12
TOKEN: {                    | TYPE: LEFT_CURLY                     | LINE: 12
TOKEN:  Input Statement    | TYPE: COMMENT                        | LINE: 13
TOKEN: age                  | TYPE: IDENTIFIER                     | LINE: 14
TOKEN: =                    | TYPE: ASSIGN_OP                      | LINE: 14
TOKEN: INPUT                | TYPE: KW_INPUT                       | LINE: 14
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 14
TOKEN: What is your age?    | TYPE: STR_CONST                      | LINE: 14
TOKEN: ,                    | TYPE: COMMA                          | LINE: 14
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 14
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 14
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 14
TOKEN:  Output Statements  | TYPE: COMMENT                        | LINE: 16
TOKEN: DISPLAY              | TYPE: KW_DISPLAY                     | LINE: 17
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 17
TOKEN: Hello                | TYPE: STR_CONST                      | LINE: 17
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 17
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 17
TOKEN: DISPLAY              | TYPE: KW_DISPLAY                     | LINE: 18
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 18
TOKEN: %s                   | TYPE: STR_WITH_FORMAT                | LINE: 18
TOKEN: ,                    | TYPE: COMMA                          | LINE: 18
TOKEN: message              | TYPE: IDENTIFIER                     | LINE: 18
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 18
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 18
TOKEN: DISPLAY              | TYPE: KW_DISPLAY                     | LINE: 19
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 19
TOKEN: message: %s age: %d  | TYPE: STR_WITH_FORMAT                | LINE: 19
TOKEN: ,                    | TYPE: COMMA                          | LINE: 19
TOKEN: message              | TYPE: IDENTIFIER                     | LINE: 19
TOKEN: ,                    | TYPE: COMMA                          | LINE: 19
TOKEN: age                  | TYPE: IDENTIFIER                     | LINE: 19
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 19
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 19
TOKEN:  Assignment Statements | TYPE: COMMENT                        | LINE: 21
TOKEN: age                  | TYPE: IDENTIFIER                     | LINE: 22
TOKEN: =                    | TYPE: ASSIGN_OP                      | LINE: 22
TOKEN: 13                   | TYPE: NUM_CONST                      | LINE: 22
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 22
TOKEN: num                  | TYPE: IDENTIFIER                     | LINE: 23
TOKEN: =                    | TYPE: ASSIGN_OP                      | LINE: 23
TOKEN: 13                   | TYPE: NUM_CONST                      | LINE: 23
TOKEN: +                    | TYPE: ADD_OP                         | LINE: 23
TOKEN: 29                   | TYPE: NUM_CONST                      | LINE: 23
TOKEN: -                    | TYPE: SUB_OP                         | LINE: 23
TOKEN: 3                    | TYPE: NUM_CONST                      | LINE: 23
TOKEN: *                    | TYPE: MUL_OP                         | LINE: 23
TOKEN: 9                    | TYPE: NUM_CONST                      | LINE: 23
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 23
TOKEN: isTrue               | TYPE: IDENTIFIER                     | LINE: 24
TOKEN: =                    | TYPE: ASSIGN_OP                      | LINE: 24
TOKEN: 13                   | TYPE: NUM_CONST                      | LINE: 24
TOKEN: ==                   | TYPE: REL_EQ                         | LINE: 24
TOKEN: 21                   | TYPE: NUM_CONST                      | LINE: 24
TOKEN: +                    | TYPE: ADD_OP                         | LINE: 24
TOKEN: x                    | TYPE: IDENTIFIER                     | LINE: 24
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 24
