TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 1
TOKEN: count                | TYPE: IDENTIFIER                     | LINE: 1
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 1
TOKEN: FLOAT                | TYPE: TYPE_FLOAT                     | LINE: 2
TOKEN: x                    | TYPE: IDENTIFIER                     | LINE: 2
TOKEN: ,                    | TYPE: COMMA                          | LINE: 2
TOKEN: y                    | TYPE: IDENTIFIER                     | LINE: 2
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 2
TOKEN: STRING               | TYPE: TYPE_STRING                    | LINE: 3
TOKEN: message              | TYPE: IDENTIFIER                     | LINE: 3
TOKEN: =                    | TYPE: ASSIGN_OP                      | LINE: 3
TOKEN: John                 | TYPE: STR_CONST                      | LINE: 3
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 3
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 4
TOKEN: numbers              | TYPE: IDENTIFIER                     | LINE: 4
TOKEN: [                    | TYPE: LEFT_BRACKET                   | LINE: 4
TOKEN: 10                   | TYPE: NUM_CONST                      | LINE: 4
TOKEN: ]                    | TYPE: RIGHT_BRACKET                  | LINE: 4
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 4
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 5
TOKEN: sum                  | TYPE: IDENTIFIER                     | LINE: 5
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 5
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 5
TOKEN: a                    | TYPE: IDENTIFIER                     | LINE: 5
TOKEN: ,                    | TYPE: COMMA                          | LINE: 5
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 5
TOKEN: b                    | TYPE: IDENTIFIER                     | LINE: 5
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 5
TOKEN: {                    | TYPE: LEFT_CURLY                     | LINE: 5
TOKEN: CHARACTER            | TYPE: TYPE_CHARACTER                 | LINE: 6
TOKEN: a                    | TYPE: IDENTIFIER                     | LINE: 6
TOKEN: =                    | TYPE: ASSIGN_OP                      | LINE: 6
TOKEN: a                    | TYPE: CHAR_CONST                     | LINE: 6
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 6
TOKEN: }                    | TYPE: RIGHT_CURLY                    | LINE: 7
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 9
TOKEN: output               | TYPE: IDENTIFIER                     | LINE: 9
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 9
TOKEN: STRING               | TYPE: TYPE_STRING                    | LINE: 9
TOKEN: name                 | TYPE: IDENTIFIER                     | LINE: 9
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 9
TOKEN: {                    | TYPE: LEFT_CURLY                     | LINE: 9
TOKEN: DISPLAY              | TYPE: KW_DISPLAY                     | LINE: 10
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 10
TOKEN: hello %cd            | TYPE: STR_WITH_FORMAT                | LINE: 10
TOKEN: ,                    | TYPE: COMMA                          | LINE: 10
TOKEN: name                 | TYPE: IDENTIFIER                     | LINE: 10
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 10
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 10
TOKEN: DISPLAY              | TYPE: KW_DISPLAY                     | LINE: 11
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 11
TOKEN: %d, %f hello         | TYPE: STR_WITH_FORMAT                | LINE: 11
TOKEN: ,                    | TYPE: COMMA                          | LINE: 11
TOKEN: num                  | TYPE: IDENTIFIER                     | LINE: 11
TOKEN: ,                    | TYPE: COMMA                          | LINE: 11
TOKEN: num1                 | TYPE: IDENTIFIER                     | LINE: 11
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 11
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 11
TOKEN: }                    | TYPE: RIGHT_CURLY                    | LINE: 12
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 14
TOKEN: MAIN                 | TYPE: KW_MAIN                        | LINE: 14
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 14
TOKEN: VOID                 | TYPE: RW_VOID                        | LINE: 14
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 14
TOKEN: {                    | TYPE: LEFT_CURLY                     | LINE: 14
TOKEN: LET                  | TYPE: NW_LET                         | LINE: 15
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 15
TOKEN: x                    | TYPE: IDENTIFIER                     | LINE: 15
TOKEN: =                    | TYPE: ASSIGN_OP                      | LINE: 15
TOKEN: 5                    | TYPE: NUM_CONST                      | LINE: 15
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 15
TOKEN: IF                   | TYPE: KW_IF                          | LINE: 16
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 16
TOKEN: x                    | TYPE: IDENTIFIER                     | LINE: 16
TOKEN: >                    | TYPE: REL_GT                         | LINE: 16
TOKEN: 0                    | TYPE: NUM_CONST                      | LINE: 16
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 16
TOKEN: {                    | TYPE: LEFT_CURLY                     | LINE: 16
TOKEN: DISPLAY              | TYPE: KW_DISPLAY                     | LINE: 17
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 17
TOKEN: Positive number      | TYPE: STR_CONST                      | LINE: 17
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 17
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 17
TOKEN: }                    | TYPE: RIGHT_CURLY                    | LINE: 18
TOKEN: FOR                  | TYPE: KW_FOR                         | LINE: 19
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 19
TOKEN: INTEGER              | TYPE: TYPE_INTEGER                   | LINE: 19
TOKEN: i                    | TYPE: IDENTIFIER                     | LINE: 19
TOKEN: =                    | TYPE: ASSIGN_OP                      | LINE: 19
TOKEN: e                    | TYPE: IDENTIFIER                     | LINE: 19
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 19
TOKEN: i                    | TYPE: IDENTIFIER                     | LINE: 19
TOKEN: <                    | TYPE: REL_LT                         | LINE: 19
TOKEN: 10                   | TYPE: NUM_CONST                      | LINE: 19
TOKEN: ;                    | TYPE: SEMICOLON                      | LINE: 19
TOKEN: i                    | TYPE: IDENTIFIER                     | LINE: 19
TOKEN: ++                   | TYPE: UNARY_INC                      | LINE: 19
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 19
TOKEN: {                    | TYPE: LEFT_CURLY                     | LINE: 19
TOKEN: DISPLAY              | TYPE: KW_DISPLAY                     | LINE: 20
TOKEN: (                    | TYPE: LEFT_PAREN                     | LINE: 20
TOKEN: Count: %d            | TYPE: STR_WITH_FORMAT                | LINE: 20
TOKEN: ,                    | TYPE: COMMA                          | LINE: 20
TOKEN: i                    | TYPE: IDENTIFIER                     | LINE: 20
TOKEN: )                    | TYPE: RIGHT_PAREN                    | LINE: 20
TOKEN: }                    | TYPE: RIGHT_CURLY                    | LINE: 21
TOKEN: }                    | TYPE: RIGHT_CURLY                    | LINE: 22
